Year,Incident Date,Incident Type,Track,Inv Location,Racing Type Description,Division,Weather Conditions,Horse,Trainer,Jockey Driver,Incident Description,Death or Injury
2013,08/10/2013,EQUINE DEATH,Finger Lakes Gaming & Racetrack,3/16 POLE,Racing,Thoroughbred, ,HOOKSHOT,JEREMIAH C. ENGLEHART,WILFREDO ROHENA PIZARRO,Sunshine Platter-Tr. Bireta-fx LF leg-fell-euthanized on track; Hookshot-Tr. Englehart-fell over fallen horse-trampled by 3rd horse-internal injuries-euthanized on track; Head Spin-Tr. Conway-ran over fallen horse & fell-uninjured; 3 jockeys unseated,Equine Death
2014,06/20/2014,STEWARDS/VETS LIST,Belmont Park (NYRA),3/8 pole,Racing,Thoroughbred, ,Secret Fortune,JEREMIAH C. ENGLEHART,JOSE L. ORTIZ,Secret Fortune-Tr. Jeremiah Englehart-eased up-vet check revealed lung infection-being treated-will resume training when better, 
2015,01/22/2015,EQUINE DEATH,Aqueduct Racetrack (NYRA),3/8 pole,Racing,Thoroughbred, ,Miss Macarena,JEREMIAH C. ENGLEHART,JOSE L. ORTIZ,Miss Macarena-Tr. Jermiah Englehart-pulled up-ambulanced off-xrays revealed fx LF leg-euthanized,Equine Death
2014,12/03/2014,EQUINE DEATH,Finger Lakes Gaming & Racetrack,Area of 1/8 Pole,Racing,Thoroughbred,Rainy,Carla Sweetrevenge,JEREMIAH C. ENGLEHART,GUILLERMO RODRIGUEZ,Carla Sweetrevenge-Tr. Jeremiah Englehart-went down unseating jockey Guillermo Rodriguez-horse fx LF leg-euthanized on track-jockey uninjured,Equine Death
2014,10/07/2014,RACING INJURY,Finger Lakes Gaming & Racetrack,3/8 pole,Racing,Thoroughbred, ,Alpha Zumba,JARED A. SCHOENEMAN,CHARLIE AMARO,Alpha Zumba-Tr. Jared Schoeneman-pulled up-ambulanced off-fx RF knee-retired from racing,Injury
2014,11/20/2014,STEWARDS/VETS LIST,Finger Lakes Gaming & Racetrack,3/8th pole,Racing,Thoroughbred,Snowing/26,La Wild Speed,LAUREN E. LINN,PEDRO A. RODRIGUEZ,La Wild Speed-Tr. Lauren Linn-pulled up-walked off-jockey felt horse was having breathing problem-horse back in training-must requalify, 
2014,01/25/2014,STEWARDS/VETS LIST,Aqueduct Racetrack (NYRA),1/8 pole,Racing,Thoroughbred, ,Skinny Margarita,RAINDRANAUTH PERSAUD,RAJIV C. MARAGH,Skinny Margarita-Tr. Randy Persaud-reared in gate-straightened out and race began-pulled up-vanned off-possible torn muscles in rear from gate incident-to be rested-must requalify, 
2013,08/01/2013,STEWARDS/VETS LIST,Saratoga Racecourse (NYRA),After Finish,Racing,Thoroughbred, ,Giant's Time,RAINDRANAUTH PERSAUD,ANNA (ROSIE) R. NAPRAVNIK,Giant's Time-Tr. Randy Persaud -ambulanced off- not claimehorse fractured its right front ankle while racing. The horse was sent to the Vet Clinic in Saratoga and had two screws inserted. -Fractured Rt ankle two screws inserted in ankle at surgery., 
2015,01/01/2015,STEWARDS/VETS LIST,Aqueduct Racetrack (NYRA),1/8 Pole,Racing,Thoroughbred, ,Julies indy,RAINDRANAUTH PERSAUD,NAVIN N. MANGALEE,Julie's Indy-Tr. Randi Persaud-pulled up as a precaution-horse felt funny after switching leads-walked off track-vet checked-no injuries found,Steward's List
2015,01/09/2015,EQUINE DEATH,Aqueduct Racetrack (NYRA),Inner Track-1 mi. pole,Training,Thoroughbred, ,Channel of Love,RAINDRANAUTH PERSAUD, ,Channel of Love-Tr. R. Persaud-sustained fx RF leg while galloping on inner track-euthanized,Euthanasia
2013,09/14/2013,STEWARDS/VETS LIST,Belmont Park (NYRA),1/4 Pole,Racing,Thoroughbred,70* Mostly Clody,Saguaro Blossom,RAINDRANAUTH PERSAUD,MAYLAN L. STUDART,Saguaro Blossom-Trainer Randi Persaud-pulled up-ambulanced off-no injuries reported-must requalify, 
2013,10/03/2013,EQUINE DEATH,Belmont Park (NYRA),After Finish,Racing,Thoroughbred,77* Mostly cloudy,Lavalette Gold,RAINDRANAUTH PERSAUD,ABEL LEZCANO,Lavalette Gold-Tr. Randi Persaud-fell unseating rider-ambulanced off- fx LF leg-euthanized,Equine Death
2014,09/06/2014,STEWARDS/VETS LIST,Belmont Park (NYRA),1/8 pole,Racing,Thoroughbred, ,Animal Style,RAINDRANAUTH PERSAUD,ABEL LEZCANO,Animal Style-Tr. Randi Persaud-pulled up-ambulanced off-vet check revealed no injury,Steward's List
2014,05/30/2014,STEWARDS/VETS LIST,Belmont Park (NYRA),3/8 Pole,Racing,Thoroughbred, ,Metropolitan Storm,RAINDRANAUTH PERSAUD,ABEL LEZCANO,Metropolitan Storm-Tr. Randi Persaud-horse would not run-eased up-walked off track-no injuries per vet exam,Steward's List
2014,01/20/2014,STEWARDS/VETS LIST,Aqueduct Racetrack (NYRA),Start,Racing,Thoroughbred,30* Clear,Grace's Honor,RAINDRANAUTH PERSAUD,MEN B. CHEN,Grace's Honor-Tr. Randi Persaud-ducked towards the inner rail after start-pulled up-walked off track under own power-no injuries reported, 
2013,12/19/2013,STEWARDS/VETS LIST,Aqueduct Racetrack (NYRA),1/8 pole,Racing,Thoroughbred,45* Clear,Blossom's Trail,RAINDRANAUTH PERSAUD,JOSE L. ORTIZ,Blossom's Trail-Tr.Randi Persaud-pulled up-ambulanced off-bled-out 30 days-must requalify, 
2013,12/01/2013,STEWARDS/VETS LIST,Aqueduct Racetrack (NYRA),Stretch,Racing,Thoroughbred, ,Suilleabhain,RAINDRANAUTH PERSAUD,MALLORY STRANDBERG,Suilleabhain-Tr. Randi Persaud-eased instretch-walked off-no injuries reported,Steward's List
2013,11/23/2013,STEWARDS/VETS LIST,Aqueduct Racetrack (NYRA),Finish,Racing,Thoroughbred,45* Clear,Fiftyfour Forever,RAINDRANAUTH PERSAUD,GUILLERMO RODRIGUEZ,Fiftyfour Forever-Tr.Randi Persaud-pulled up-ambulanced off-vet check-xrays clean-mildly lame LF leg-must requalify,Lameness
2014,08/15/2014,STEWARDS/VETS LIST,Saratoga Racecourse (NYRA),Stretch,Racing,Thoroughbred,Cloudy-60*,Omagoddonna,KENNETH G. MC PEEK,JUNIOR R. ALVARADO,Omagoddonna-Tr.K.McPeek-eased up-ambulanced off-appears to have bled-must qualify,Steward's List
2014,11/26/2014,STEWARDS/VETS LIST,Aqueduct Racetrack (NYRA),1/8 pole,Racing,Thoroughbred,Raining,Bettina Brugge,KENNETH G. MC PEEK,LUIS SAEZ,Bettina Brugge-Tr. Ken McPeek-pulled up-walked off track-did not handle sloppy track well-no injuries reported-must requalify, 
2013,08/11/2013,EQUINE DEATH,Saratoga Racecourse (NYRA),1/2 mile pole,Racing,Thoroughbred,82* Clear,Charmed Hour,KENNETH G. MC PEEK,JOHN R. VELAZQUEZ,Charmed Hour-Tr. Ken McPeek-stumbled-unseating rider-suffered fx RF leg-euthanized on track,Equine Death
